"Carimbo de data/hora","Você já utilizou algum frete?","Com que frequência?","Qual o mais frequente?","Qual a forma utilizada para contatar o motorista?","Qual critério na escolha do motorista?","Sua opinião em relação ao preço cobrado","Metodo de pagamento mais utilizado","Você conhece algum sistema que ajude no uso desse serviço?","Se sim, qual?","Gostaria de usar a tecnologia para auxiliar na sua procura?","Porque não conseguiu?","Porque nunca utilizou?","Porque não gosta ou confia no serviço?"
"2017/09/21 3:50:57 PM GMT-3","Sim","Ocasionalmente","Caminhão Grande Porte","Pesquisei na internet","Distância do local onde eu estava","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 3:52:00 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pegou o número com alguém","Segurança;Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 3:53:34 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 3:55:42 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 3:55:54 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Transportadora","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:02:05 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:02:26 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:07:19 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:12:39 PM GMT-3","Sim","Raramente","Motoboy","Fui pessoalmente ao local onde o motorista fica","Não houve critério, peguei o primeiro que consegui","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:23:24 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:24:56 PM GMT-3","Não","","","","","","","","","","","Meu pai possui uma caminhoneta topzera d+++++",""
"2017/09/21 4:27:11 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:31:57 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:33:42 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Segurança;Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 4:33:47 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:33:57 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:34:23 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:35:33 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 4:37:14 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
