"Carimbo de data/hora","Você já utilizou algum frete?","Com que frequência?","Qual o mais frequente?","Qual a forma utilizada para contatar o motorista?","Qual critério na escolha do motorista?","Sua opinião em relação ao preço cobrado","Metodo de pagamento mais utilizado","Você conhece algum sistema que ajude no uso desse serviço?","Se sim, qual?","Gostaria de usar a tecnologia para auxiliar na sua procura?","Porque não conseguiu?","Porque nunca utilizou?","Porque não gosta ou confia no serviço?"
"2017/09/21 5:08:00 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:08:42 PM GMT-3","Sim","Raramente","Motoboy","Pesquisei na internet","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Sim","","Sim","","",""
"2017/09/21 5:08:57 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","O motorista é um conhecido","Segurança;Confiança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:08:59 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:09:12 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:09:15 PM GMT-3","Sim","Ocasionalmente","Motoboy","O motorista é um conhecido","Segurança","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:09:37 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","O motorista é um conhecido;Pesquisei na internet;Fui pessoalmente ao local onde o motorista fica","Preço","Abusivo","Cartão Crédito/Débito","Sim","Grupos de frete na plataforma do facebook","Sim","","",""
"2017/09/21 5:10:17 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Contato com Cooperativa(motoboy)","Preço","Barato","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:11:11 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Viu o número em uma placa;Fui pessoalmente ao local onde o motorista fica","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:11:56 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:11:58 PM GMT-3","Sim","Raramente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:12:43 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Abusivo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:13:31 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:13:59 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Fui pessoalmente ao local onde o motorista fica","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:14:02 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Distância do local onde eu estava","Abusivo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:14:48 PM GMT-3","Sim","Ocasionalmente","Carro","Uber","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Sim","Uber","Sim","","",""
"2017/09/21 5:15:34 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:15:45 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Fui pessoalmente ao local onde o motorista fica","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:15:54 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:16:00 PM GMT-3","Sim","Raramente","Caminhão Grande Porte","Pegou o número com alguém","Segurança","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:16:32 PM GMT-3","Sim","Raramente","Motoboy","Pegou o número com alguém","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:16:42 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:16:42 PM GMT-3","Sim","Ocasionalmente","Caminhão Grande Porte","Pesquisei na internet","Não houve critério, peguei o primeiro que consegui","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:16:48 PM GMT-3","Sim","Raramente","Motoboy","Contato com Cooperativa(motoboy)","Segurança","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:17:28 PM GMT-3","Sim","Raramente","Carro","Pesquisei na internet","Preço;Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:17:35 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:18:07 PM GMT-3","Sim","Raramente","Motoboy","Pesquisei na internet","Preço","Abusivo","Cartão Crédito/Débito","Não","","Não","","",""
"2017/09/21 5:18:57 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:19:01 PM GMT-3","Sim","Raramente","Motoboy","Fui pessoalmente ao local onde o motorista fica","Preço","Justo","Dinheiro","Não","","Não","","",""
"2017/09/21 5:19:09 PM GMT-3","Sim","Frequentemente","Carro","Pesquisei na internet;Contato com Cooperativa(motoboy)","Segurança;Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:19:38 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa;Pegou o número com alguém","Segurança;Preço","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:20:29 PM GMT-3","Sim","Ocasionalmente","Correios ","Fui até a agência ","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:21:30 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:22:39 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:22:57 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet","Não houve critério, peguei o primeiro que consegui","Justo","Cartão Crédito/Débito","Não","","Talvez","","",""
"2017/09/21 5:22:57 PM GMT-3","Sim","Frequentemente","Caminhão Grande Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:23:04 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança;Preço","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:23:35 PM GMT-3","Sim","Frequentemente","Correios","Correios","Preço","Abusivo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:24:57 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:25:22 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:26:14 PM GMT-3","Não","","","","","","","","","","","Não confio ou gosto do serviço","ss fon trab"
"2017/09/21 5:26:54 PM GMT-3","Não","","","","","","","","","","","Não confio ou gosto do serviço","Pelo fato de não chegar ou chegar com defeito e ter problemas ta troca"
"2017/09/21 5:27:26 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","varia","Cartão Crédito/Débito","Sim","interwebs","Sim","","",""
"2017/09/21 5:28:29 PM GMT-3","Sim","Frequentemente","Motoboy","Fui pessoalmente ao local onde o motorista fica;Contato com Cooperativa(motoboy)","Distância do local onde eu estava","Abusivo","Cartão Crédito/Débito","Sim","Internet, no caso, sites.","Sim","","",""
"2017/09/21 5:29:43 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Justo","Cartão Crédito/Débito","Sim","","Talvez","","",""
"2017/09/21 5:31:17 PM GMT-3","Sim","Ocasionalmente","Motoboy","O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:32:33 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:32:35 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pegou o número com alguém","Segurança;Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:32:59 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;Lista telefônica","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:33:03 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:34:02 PM GMT-3","Sim","Ocasionalmente","Correios","Contato com Cooperativa(motoboy)","Não houve critério, peguei o primeiro que consegui","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:34:05 PM GMT-3","Sim","Frequentemente","Motoboy","O motorista é um conhecido","Não houve critério, peguei o primeiro que consegui","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:34:19 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:36:06 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:36:07 PM GMT-3","Sim","Frequentemente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:36:49 PM GMT-3","Sim","Raramente","Carro","Viu o número em uma placa;Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:36:58 PM GMT-3","Precisei, mas não consegui","","","","","","","","","","Diziam que o endereço era inexistente.","",""
"2017/09/21 5:37:29 PM GMT-3","Sim","Ocasionalmente","Caminhão Grande Porte","O motorista é um conhecido;Pesquisei na internet","Segurança;Preço","Justo","Deposito em conta","Não","","Sim","","",""
"2017/09/21 5:37:37 PM GMT-3","Sim","Ocasionalmente","Carro","Pegou o número com alguém;Pesquisei na internet;Contato com Cooperativa(motoboy)","Segurança;Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:37:39 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança;Distância do local onde eu estava","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:39:35 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:39:59 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:40:05 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:40:05 PM GMT-3","Sim","Frequentemente","Carro","Pesquisei na internet","Segurança","Barato","Cartão Crédito/Débito","Não","Não tem o porque deixar sistema de frete on","Não","","",""
"2017/09/21 5:40:27 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:42:06 PM GMT-3","Sim","Ocasionalmente","Carro","Pesquisei na internet;Contato com Cooperativa(motoboy)","Preço","Caro, pra um serviço precário","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:42:52 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:43:12 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Depende da situação, e de onde estou ","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:44:47 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:45:46 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:46:30 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pegou o número com alguém","Segurança","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:47:50 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Viu o número em uma placa","Segurança","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:48:37 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:50:18 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;Fui pessoalmente ao local onde o motorista fica","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:50:18 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Rapideza","Justo","Dinheiro","Não","","Não","","",""
"2017/09/21 5:53:53 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","O motorista é um conhecido","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:55:08 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:56:08 PM GMT-3","Sim","Raramente","Caminhão Grande Porte","O motorista é um conhecido","Segurança;Preço;Distância do local onde eu estava","Justo","Bolet obancário, no meu caso","Não","","Talvez","","",""
"2017/09/21 5:56:48 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 6:00:46 PM GMT-3","Sim","Raramente","Motoboy","Pesquisei na internet","Segurança;Preço;Distância do local onde eu estava","Justo","Cartão Crédito/Débito","Não","","Não","","",""
"2017/09/21 6:00:56 PM GMT-3","Sim","Frequentemente","Motoboy","Pegou o número com alguém;compro lanches semanalmente e o entregador da empresa é motoboy","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:03:29 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;Fui pessoalmente ao local onde o motorista fica","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:03:29 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:03:54 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 6:04:28 PM GMT-3","Sim","Raramente","Caminhão Grande Porte","O motorista é um conhecido","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:06:13 PM GMT-3","Sim","Frequentemente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 6:11:34 PM GMT-3","Sim","Ocasionalmente","Motoboy","O motorista é um conhecido","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:14:57 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Distância do local onde eu estava","Abusivo","Cartão Crédito/Débito","Sim","Uber para entregas, ifood","Sim","","",""
"2017/09/21 6:15:32 PM GMT-3","Sim","Frequentemente","Motoboy","Pegou o número com alguém;Pesquisei na internet;Contato com Cooperativa(motoboy)","Segurança;Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 6:20:58 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","O motorista é um conhecido","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:21:02 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:22:18 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:23:12 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Contato com Cooperativa(motoboy)","Não houve critério, peguei o primeiro que consegui","Abusivo","Dinheiro","Não","talvez paypal, facilitamento te pagamento ","Sim","","",""
"2017/09/21 6:25:54 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 6:29:16 PM GMT-3","Sim","Raramente","Motoboy","Pesquisei na internet","Preço;Distância do local onde eu estava","Abusivo","Dinheiro","Sim","Cabify","Sim","","",""
"2017/09/21 6:29:28 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 6:33:17 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço","Acima do esperado","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:34:03 PM GMT-3","Sim","Ocasionalmente","Carro","Pesquisei na internet","Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 6:36:03 PM GMT-3","Sim","Frequentemente","Motoboy","Contato com Cooperativa(motoboy)","Não houve critério, peguei o primeiro que consegui","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:36:15 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Fui pessoalmente ao local onde o motorista fica","Segurança","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 6:38:10 PM GMT-3","Sim","Raramente","Carro","Pegou o número com alguém;O motorista é um conhecido;Fui pessoalmente ao local onde o motorista fica","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Não","","",""
"2017/09/21 6:40:51 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pegou o número com alguém","Distância do local onde eu estava","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:46:52 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Justo","Dinheiro","Não","","Não","","",""
"2017/09/21 6:51:00 PM GMT-3","Sim","Ocasionalmente","Motoboy","Viu o número em uma placa;Pesquisei na internet;Contato com Cooperativa(motoboy)","Segurança;Preço","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:55:37 PM GMT-3","Sim","Ocasionalmente","Carro","Pegou o número com alguém;Pesquisei na internet","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:55:59 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Fui pessoalmente ao local onde o motorista fica","Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 7:06:57 PM GMT-3","Sim","Ocasionalmente","Carro","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 7:09:39 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 7:13:15 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 7:17:07 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém;Fui pessoalmente ao local onde o motorista fica","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 7:22:22 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 7:36:30 PM GMT-3","Sim","Ocasionalmente","Carro","O motorista é um conhecido","Preço","Justo","Troca de serviços","Não","","Sim","","",""
"2017/09/21 7:49:19 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço","Abusivo","Dinheiro","Não","","Não","","",""
"2017/09/21 7:49:46 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 7:50:26 PM GMT-3","Sim","Raramente","Correios ","Correios","Correios","Justo","Cartão Crédito/Débito","Sim","Correios ","Sim","","",""
"2017/09/21 7:59:57 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:00:19 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 8:03:33 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Viu o número em uma placa;Pesquisei na internet;Fui pessoalmente ao local onde o motorista fica","Segurança;Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 8:07:41 PM GMT-3","Sim","Ocasionalmente","Motoboy","Viu o número em uma placa;Pegou o número com alguém;O motorista é um conhecido;Pesquisei na internet;Fui pessoalmente ao local onde o motorista fica","Segurança;Preço","Razoávelmente abusivo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 8:16:15 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Justo","Cartão Crédito/Débito","Não","","Talvez","","",""
"2017/09/21 8:16:47 PM GMT-3","Sim","Ocasionalmente","Carro","O motorista é um conhecido;Pesquisei na internet","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:19:35 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:24:13 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","O motorista é um conhecido","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 8:26:11 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Segurança","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 8:33:03 PM GMT-3","Sim","Ocasionalmente","Carro","Viu o número em uma placa;Pegou o número com alguém;O motorista é um conhecido","Não houve critério, peguei o primeiro que consegui","É relativo ","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:36:44 PM GMT-3","Sim","Frequentemente","Motoboy","O motorista é um conhecido;Fui pessoalmente ao local onde o motorista fica","Segurança","Justo","Dinheiro","Não","","Não","","",""
"2017/09/21 8:36:49 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:38:44 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 8:40:22 PM GMT-3","Sim","Ocasionalmente","Carro","O motorista é um conhecido","Era um amigo.","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:54:04 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 8:56:47 PM GMT-3","Sim","Ocasionalmente","Caminhão Grande Porte","Viu o número em uma placa","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:04:02 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet","Tempo de entrega","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:04:06 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","O motorista é um conhecido;Fui pessoalmente ao local onde o motorista fica;Contato com Cooperativa(motoboy)","Segurança;Preço;Distância do local onde eu estava","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 9:05:07 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:16:04 PM GMT-3","Sim","Ocasionalmente","Sedex","Pesquisei na internet","Preço","Razoável","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 9:17:35 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa;Pegou o número com alguém;O motorista é um conhecido","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:20:39 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:30:34 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:30:55 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Contato com Cooperativa(motoboy)","Distância do local onde eu estava","Justo","Cartão Crédito/Débito","Não","","Talvez","","",""
"2017/09/21 9:31:41 PM GMT-3","Sim","Frequentemente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:40:11 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 9:41:17 PM GMT-3","Sim","Raramente","Carro","Viu o número em uma placa;Pegou o número com alguém;O motorista é um conhecido","Preço;Conhecido ","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:42:34 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Contato com Cooperativa(motoboy)","Distância do local onde eu estava","Abusivo","Dinheiro e Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 10:02:36 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:08:34 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa;O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 10:18:02 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 10:21:48 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:24:00 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pelo site da compra","Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 10:30:15 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;Pesquisei na internet","Segurança;Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 10:35:38 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","O motorista é um conhecido","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 10:36:26 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:45:22 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:57:03 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:58:24 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido;Pesquisei na internet","Segurança;Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 10:58:25 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:59:06 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
